                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "6725cf8"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260119"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                star_age                                star_mass                                    log_L                                 log_Teff                                    log_g                                    log_R                              effective_T                                 center_T                               center_Rho                        center_degeneracy                                 log_Lnuc                                 log_Lneu                           power_nuc_burn                             total_energy               total_gravitational_energy                    total_internal_energy                            photosphere_L                            photosphere_r                                     Teff                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                       phase_of_evolution                             model_number                                num_zones                                time_step 
                 1.0000000000000001E-005                  1.0000000000000000E+000                  7.9239505831625784E-002                  3.6366297038932149E+000                  3.8600406153153717E+000                  2.8901350599388070E-001                  4.3314140794581726E+003                  3.9969953541762643E+006                  1.1884121448439162E+000                 -4.1529147808863964E+000                 -5.1441887575596246E+000                 -6.5419552582294997E+000                  7.1748238387947327E-006                 -8.1817625031734508E+047                 -1.6883212762034951E+048                  8.7014502588615002E+047                  1.2001609885301061E+000                  1.9454205807332920E+000                  4.3314140794581726E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.8591436821148319E-002                                        1                                        1                                      695                  1.0000000000000001E-005 
                 5.2040401600000017E-005                  1.0000000000000000E+000                  7.9237780488004325E-002                  3.6366292714831974E+000                  3.8600406110189240E+000                  2.8901350814210447E-001                  4.3314097668408504E+003                  3.9969953541973089E+006                  1.1884121448674461E+000                 -4.1529147808744318E+000                 -5.1441887575349252E+000                 -6.5419552582047986E+000                  7.1748238392027899E-006                 -8.1817625032241487E+047                 -1.6883212762135386E+048                  8.7014502589112376E+047                  1.2001562205994061E+000                  1.9454205903562529E+000                  4.3314097668408504E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4347651480057309E-002                                        2                                        5                                      696                  1.0824321600000003E-005 
                 1.0949720999737860E-004                  1.0000000000000000E+000                  7.9237905542141884E-002                  3.6366293026920165E+000                  3.8600406108000631E+000                  2.8901350825153488E-001                  4.3314100781001325E+003                  3.9969953542268239E+006                  1.1884121448999083E+000                 -4.1529147808581088E+000                 -5.1441887575005305E+000                 -6.5419552581704012E+000                  7.1748238397710135E-006                 -8.1817625032942090E+047                 -1.6883212762274848E+048                  8.7014502589806391E+047                  1.2001565661817908E+000                  1.9454205908464459E+000                  4.3314100781001325E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4350113321279353E-002                                        2                                       10                                      696                  1.1950925686223113E-005 
                 1.7293416916206486E-004                  1.0000000000000000E+000                  7.9237940393327322E-002                  3.6366293113855357E+000                  3.8600406107229541E+000                  2.8901350829008943E-001                  4.3314101648044298E+003                  3.9969953542597825E+006                  1.1884121449359366E+000                 -4.1529147808400673E+000                 -5.1441887574621976E+000                 -6.5419552581320657E+000                  7.1748238404042952E-006                 -8.1817625033729810E+047                 -1.6883212762430740E+048                  8.7014502590577593E+047                  1.2001566624917428E+000                  1.9454205910191509E+000                  4.3314101648044298E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4352830401590657E-002                                        2                                       15                                      696                  1.3194787630628729E-005 
                 2.4297369798917731E-004                  1.0000000000000000E+000                  7.9237957288925603E-002                  3.6366293155996052E+000                  3.8600406106836345E+000                  2.8901350830974937E-001                  4.3314102068331995E+003                  3.9969953542976119E+006                  1.1884121449762783E+000                 -4.1529147808202129E+000                 -5.1441887574187168E+000                 -6.5419552580885814E+000                  7.1748238411226308E-006                 -8.1817625034617044E+047                 -1.6883212762606779E+048                  8.7014502591450743E+047                  1.2001567091821017E+000                  1.9454205911072175E+000                  4.3314102068331995E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4355839317953669E-002                                        2                                       20                                      696                  1.4568111725277991E-005 
                 3.2030299723236516E-004                  1.0000000000000000E+000                  7.9237967055606151E-002                  3.6366293180359355E+000                  3.8600406106622742E+000                  2.8901350832042949E-001                  4.3314102311317938E+003                  3.9969953543402832E+006                  1.1884121450212441E+000                 -4.1529147807982731E+000                 -5.1441887573698644E+000                 -6.5419552580397271E+000                  7.1748238419296931E-006                 -8.1817625035610736E+047                 -1.6883212762804089E+048                  8.7014502592430156E+047                  1.2001567361719618E+000                  1.9454205911550593E+000                  4.3314102311317938E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4359170039322846E-002                                        2                                       25                                      696                  1.6084372494752264E-005 
                 4.0568079205167713E-004                  1.0000000000000000E+000                  7.9237973302921719E-002                  3.6366293195951527E+000                  3.8600406106518284E+000                  2.8901350832565231E-001                  4.3314102466825543E+003                  3.9969953543881169E+006                  1.1884121450712384E+000                 -4.1529147807740330E+000                 -5.1441887573152396E+000                 -6.5419552579850979E+000                  7.1748238428321406E-006                 -8.1817625036725538E+047                 -1.6883212763024895E+048                  8.7014502593523410E+047                  1.2001567534361874E+000                  1.9454205911784548E+000                  4.3314102466825543E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4362851937148337E-002                                        2                                       30                                      696                  1.7758446902974068E-005 
                 4.9994477633122792E-004                  1.0000000000000000E+000                  7.9237977506658314E-002                  3.6366293206451887E+000                  3.8600406106482366E+000                  2.8901350832744827E-001                  4.3314102571550275E+003                  3.9969953544413461E+006                  1.1884121451266252E+000                 -4.1529147807472624E+000                 -5.1441887572545379E+000                 -6.5419552579243927E+000                  7.1748238438349675E-006                 -8.1817625037963317E+047                 -1.6883212763269939E+048                  8.7014502594736071E+047                  1.2001567650530582E+000                  1.9454205911864997E+000                  4.3314102571550275E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4366920959462100E-002                                        2                                       35                                      696                  1.9606760320220166E-005 
                 6.0401983180742656E-004                  1.0000000000000000E+000                  7.9237980386980655E-002                  3.6366293213658198E+000                  3.8600406106504366E+000                  2.8901350832634815E-001                  4.3314102643421984E+003                  3.9969953545016828E+006                  1.1884121451884566E+000                 -4.1529147807177198E+000                 -5.1441887571861384E+000                 -6.5419552578559887E+000                  7.1748238449649747E-006                 -8.1817625039344338E+047                 -1.6883212763545156E+048                  8.7014502596107227E+047                  1.2001567730127227E+000                  1.9454205911815718E+000                  4.3314102643421984E+003                  0.0000000000000000E+000                  9.9999999920149996E-001                  1.4371425840710841E-002                                        2                                       40                                      696                  2.1647447682498570E-005 
