#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
115  0.53863806E+01  0.59371738E+00 -0.47401540E-04 -0.22658450E-06  0.00000000E+00 -0.21198621E-03 -0.16286193E-05  0.00000000E+00
114  0.53682007E+01  0.60612692E+00 -0.60740868E-04 -0.25163544E-06  0.00000000E+00 -0.27272708E-03 -0.18802547E-05  0.00000000E+00
113  0.53501512E+01  0.61839192E+00 -0.76143780E-04 -0.27735413E-06  0.00000000E+00 -0.34887086E-03 -0.21576089E-05  0.00000000E+00
112  0.53321866E+01  0.63050174E+00 -0.88717926E-04 -0.30337027E-06  0.00000000E+00 -0.43758879E-03 -0.24609791E-05  0.00000000E+00
111  0.53142620E+01  0.64244497E+00 -0.10782675E-03 -0.32926565E-06  0.00000000E+00 -0.54541554E-03 -0.27902448E-05  0.00000000E+00
110  0.52963341E+01  0.65420959E+00 -0.12941930E-03 -0.35457810E-06  0.00000000E+00 -0.67483483E-03 -0.31448229E-05  0.00000000E+00
109  0.52783400E+01  0.66578250E+00 -0.13669984E-03 -0.37880030E-06  0.00000000E+00 -0.81153467E-03 -0.35236232E-05  0.00000000E+00
108  0.52602173E+01  0.67714973E+00 -0.14422834E-03 -0.40142551E-06  0.00000000E+00 -0.95576301E-03 -0.39250487E-05  0.00000000E+00
107  0.52419220E+01  0.68829721E+00 -0.15722311E-03 -0.42197486E-06  0.00000000E+00 -0.11129861E-02 -0.43470236E-05  0.00000000E+00
106  0.52234120E+01  0.69921102E+00 -0.14925627E-03 -0.44000142E-06  0.00000000E+00 -0.12622424E-02 -0.47870250E-05  0.00000000E+00
105  0.52046510E+01  0.70987778E+00 -0.11482811E-03 -0.45513331E-06  0.00000000E+00 -0.13770705E-02 -0.52421583E-05  0.00000000E+00
104  0.51856437E+01  0.72028594E+00 -0.11723550E-03 -0.46720047E-06  0.00000000E+00 -0.14943060E-02 -0.57093588E-05  0.00000000E+00
103  0.51664299E+01  0.73042680E+00 -0.11387896E-03 -0.47607945E-06  0.00000000E+00 -0.16081850E-02 -0.61854382E-05  0.00000000E+00
