#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
150  0.63011411E+01  0.14213482E+00 -0.37364784E-08  0.00000000E+00  0.00000000E+00 -0.37364784E-08  0.00000000E+00  0.00000000E+00
149  0.62591492E+01  0.15356585E+00  0.92336600E-08  0.00000000E+00  0.00000000E+00  0.54971816E-08  0.00000000E+00  0.00000000E+00
148  0.62187024E+01  0.16520211E+00  0.17680490E-07  0.00000000E+00  0.00000000E+00  0.23177671E-07  0.00000000E+00  0.00000000E+00
147  0.61798096E+01  0.17702360E+00  0.45933333E-08  0.00000000E+00  0.00000000E+00  0.27771005E-07  0.00000000E+00  0.00000000E+00
146  0.61424424E+01  0.18901515E+00 -0.46013231E-08  0.00000000E+00  0.00000000E+00  0.23169681E-07  0.00000000E+00  0.00000000E+00
145  0.61065795E+01  0.20116584E+00  0.34129209E-06 -0.36576250E-08  0.00000000E+00  0.36446177E-06 -0.36576250E-08  0.00000000E+00
144  0.60720944E+01  0.21346519E+00 -0.19560358E-07 -0.50355521E-08  0.00000000E+00  0.34490141E-06 -0.86931771E-08  0.00000000E+00
143  0.60388001E+01  0.22590097E+00 -0.29438449E-07 -0.68683073E-08  0.00000000E+00  0.31546297E-06 -0.15561484E-07  0.00000000E+00
142  0.60066120E+01  0.23846198E+00 -0.40122078E-07 -0.92699719E-08  0.00000000E+00  0.27534089E-06 -0.24831456E-07  0.00000000E+00
141  0.59755141E+01  0.25113971E+00 -0.61099634E-07 -0.12371688E-07  0.00000000E+00  0.21424125E-06 -0.37203144E-07  0.00000000E+00
140  0.59454888E+01  0.26392787E+00 -0.93215917E-07 -0.16319177E-07  0.00000000E+00  0.12102534E-06 -0.53522321E-07  0.00000000E+00
139  0.59164966E+01  0.27682124E+00 -0.14504598E-06 -0.21267133E-07  0.00000000E+00 -0.24020639E-07 -0.74789453E-07  0.00000000E+00
138  0.58884579E+01  0.28981405E+00 -0.21412269E-06 -0.27370087E-07  0.00000000E+00 -0.23814333E-06 -0.10215954E-06  0.00000000E+00
137  0.58612747E+01  0.30289914E+00 -0.30943083E-06 -0.34770127E-07  0.00000000E+00 -0.54757415E-06 -0.13692967E-06  0.00000000E+00
136  0.58348523E+01  0.31606789E+00 -0.41274343E-06 -0.43582056E-07  0.00000000E+00 -0.96031758E-06 -0.18051172E-06  0.00000000E+00
135  0.58091323E+01  0.32931124E+00 -0.56376524E-06 -0.53876528E-07  0.00000000E+00 -0.15240828E-05 -0.23438825E-06  0.00000000E+00
134  0.57840813E+01  0.34262034E+00 -0.78449319E-06 -0.65659230E-07  0.00000000E+00 -0.23085760E-05 -0.30004748E-06  0.00000000E+00
133  0.57596614E+01  0.35598625E+00 -0.10807163E-05 -0.78844971E-07  0.00000000E+00 -0.33892923E-05 -0.37889245E-06  0.00000000E+00
132  0.57358194E+01  0.36939933E+00 -0.13923558E-05 -0.93230618E-07  0.00000000E+00 -0.47816481E-05 -0.47212307E-06  0.00000000E+00
131  0.57124988E+01  0.38284902E+00 -0.18112483E-05 -0.10847396E-06  0.00000000E+00 -0.65928965E-05 -0.58059703E-06  0.00000000E+00
130  0.56896600E+01  0.39632442E+00 -0.23813559E-05 -0.12407961E-06  0.00000000E+00 -0.89742523E-05 -0.70467664E-06  0.00000000E+00
129  0.56672436E+01  0.40981350E+00 -0.28625876E-05 -0.13939092E-06  0.00000000E+00 -0.11836840E-04 -0.84406756E-06  0.00000000E+00
128  0.56451902E+01  0.42330322E+00 -0.34274386E-05 -0.15360272E-06  0.00000000E+00 -0.15264278E-04 -0.99767028E-06  0.00000000E+00
127  0.56234737E+01  0.43678064E+00 -0.40877341E-05 -0.16579900E-06  0.00000000E+00 -0.19352013E-04 -0.11634693E-05  0.00000000E+00
126  0.56020757E+01  0.45023317E+00 -0.47189034E-05 -0.17500435E-06  0.00000000E+00 -0.24070916E-04 -0.13384736E-05  0.00000000E+00
125  0.55809909E+01  0.46364900E+00 -0.57015421E-05 -0.18025707E-06  0.00000000E+00 -0.29772458E-04 -0.15187307E-05  0.00000000E+00
124  0.55602240E+01  0.47701744E+00 -0.66495752E-05 -0.18069895E-06  0.00000000E+00 -0.36422033E-04 -0.16994296E-05  0.00000000E+00
123  0.55397696E+01  0.49032848E+00 -0.73894103E-05 -0.17567701E-06  0.00000000E+00 -0.43811443E-04 -0.18751067E-05  0.00000000E+00
122  0.55196284E+01  0.50357296E+00 -0.83758013E-05 -0.16485885E-06  0.00000000E+00 -0.52187245E-04 -0.20399655E-05  0.00000000E+00
121  0.54997982E+01  0.51674237E+00 -0.91060073E-05 -0.14834296E-06  0.00000000E+00 -0.61293252E-04 -0.21883085E-05  0.00000000E+00
120  0.54802632E+01  0.52982839E+00 -0.93282631E-05 -0.12675675E-06  0.00000000E+00 -0.70621515E-04 -0.23150652E-05  0.00000000E+00
119  0.54610037E+01  0.54282269E+00 -0.88209402E-05 -0.10133268E-06  0.00000000E+00 -0.79442455E-04 -0.24163979E-05  0.00000000E+00
118  0.54420048E+01  0.55571702E+00 -0.80654432E-05 -0.73939431E-07  0.00000000E+00 -0.87507899E-04 -0.24903373E-05  0.00000000E+00
117  0.54232535E+01  0.56850330E+00 -0.68453839E-05 -0.47050070E-07  0.00000000E+00 -0.94353283E-04 -0.25373874E-05  0.00000000E+00
116  0.54047227E+01  0.58117308E+00 -0.45589145E-05 -0.23642179E-07  0.00000000E+00 -0.98912197E-04 -0.25610296E-05  0.00000000E+00
115  0.53863806E+01  0.59371738E+00 -0.19902797E-05 -0.70274413E-08  0.00000000E+00 -0.10090248E-03 -0.25680570E-05  0.00000000E+00
114  0.53682007E+01  0.60612692E+00  0.32395162E-06 -0.60507222E-09  0.00000000E+00 -0.10057853E-03 -0.25686621E-05  0.00000000E+00
113  0.53501512E+01  0.61839192E+00  0.20837632E-05 -0.75532659E-08  0.00000000E+00 -0.98494762E-04 -0.25762154E-05  0.00000000E+00
112  0.53321866E+01  0.63050174E+00  0.22963932E-05 -0.30484581E-07  0.00000000E+00 -0.96198369E-04 -0.26066999E-05  0.00000000E+00
111  0.53142620E+01  0.64244497E+00 -0.29553713E-06 -0.71096228E-07  0.00000000E+00 -0.96493906E-04 -0.26777962E-05  0.00000000E+00
110  0.52963341E+01  0.65420959E+00 -0.68654083E-05 -0.12985634E-06  0.00000000E+00 -0.10335931E-03 -0.28076525E-05  0.00000000E+00
109  0.52783400E+01  0.66578250E+00 -0.18215263E-04 -0.20577019E-06  0.00000000E+00 -0.12157458E-03 -0.30134227E-05  0.00000000E+00
108  0.52602173E+01  0.67714973E+00 -0.34510722E-04 -0.29627715E-06  0.00000000E+00 -0.15608530E-03 -0.33096999E-05  0.00000000E+00
107  0.52419220E+01  0.68829721E+00 -0.56078594E-04 -0.39731944E-06  0.00000000E+00 -0.21216389E-03 -0.37070193E-05  0.00000000E+00
106  0.52234120E+01  0.69921102E+00 -0.79533098E-04 -0.50358291E-06  0.00000000E+00 -0.29169699E-03 -0.42106022E-05  0.00000000E+00
