#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
105  0.52046510E+01  0.70987778E+00 -0.99570567E-04 -0.60891506E-06  0.00000000E+00 -0.39126756E-03 -0.48195173E-05  0.00000000E+00
104  0.51856437E+01  0.72028594E+00 -0.12549011E-03 -0.70693038E-06  0.00000000E+00 -0.51675767E-03 -0.55264476E-05  0.00000000E+00
103  0.51664299E+01  0.73042680E+00 -0.14973347E-03 -0.79156518E-06  0.00000000E+00 -0.66649115E-03 -0.63180128E-05  0.00000000E+00
102  0.51470555E+01  0.74029452E+00 -0.16135580E-03 -0.85760639E-06  0.00000000E+00 -0.82784695E-03 -0.71756192E-05  0.00000000E+00
101  0.51276058E+01  0.74988695E+00 -0.19384930E-03 -0.90127369E-06  0.00000000E+00 -0.10216963E-02 -0.80768929E-05  0.00000000E+00
100  0.51081993E+01  0.75920609E+00 -0.25342817E-03 -0.92033553E-06  0.00000000E+00 -0.12751244E-02 -0.89972284E-05  0.00000000E+00
 99  0.50889344E+01  0.76825708E+00 -0.30424996E-03 -0.91399812E-06  0.00000000E+00 -0.15793744E-02 -0.99112266E-05  0.00000000E+00
 98  0.50698897E+01  0.77704737E+00 -0.36876912E-03 -0.88315904E-06  0.00000000E+00 -0.19481435E-02 -0.10794386E-04  0.00000000E+00
 97  0.50511434E+01  0.78558629E+00 -0.46164497E-03 -0.83012899E-06  0.00000000E+00 -0.24097885E-02 -0.11624515E-04  0.00000000E+00
 96  0.50327471E+01  0.79388424E+00 -0.52688296E-03 -0.75784490E-06  0.00000000E+00 -0.29366714E-02 -0.12382359E-04  0.00000000E+00
 95  0.50147286E+01  0.80195188E+00 -0.59322851E-03 -0.67070721E-06  0.00000000E+00 -0.35298999E-02 -0.13053067E-04  0.00000000E+00
 94  0.49971131E+01  0.80980009E+00 -0.64934891E-03 -0.57345838E-06  0.00000000E+00 -0.41792488E-02 -0.13626525E-04  0.00000000E+00
 93  0.49799032E+01  0.81743931E+00 -0.65755026E-03 -0.47080973E-06  0.00000000E+00 -0.48367991E-02 -0.14097335E-04  0.00000000E+00
 92  0.49630916E+01  0.82487940E+00 -0.63906571E-03 -0.36832006E-06  0.00000000E+00 -0.54758648E-02 -0.14465655E-04  0.00000000E+00
 91  0.49466735E+01  0.83212969E+00 -0.58549382E-03 -0.27097200E-06  0.00000000E+00 -0.60613586E-02 -0.14736627E-04  0.00000000E+00
 90  0.49306318E+01  0.83919872E+00 -0.48774060E-03 -0.18334452E-06  0.00000000E+00 -0.65490992E-02 -0.14919971E-04  0.00000000E+00
 89  0.49149435E+01  0.84609418E+00 -0.35821492E-03 -0.10983427E-06  0.00000000E+00 -0.69073141E-02 -0.15029806E-04  0.00000000E+00
 88  0.48995865E+01  0.85282297E+00 -0.20781332E-03 -0.53926178E-07  0.00000000E+00 -0.71151275E-02 -0.15083732E-04  0.00000000E+00
 87  0.48845339E+01  0.85939114E+00 -0.56086476E-04 -0.18183330E-07  0.00000000E+00 -0.71712139E-02 -0.15101915E-04  0.00000000E+00
 86  0.48697516E+01  0.86580378E+00  0.54632567E-04 -0.43713434E-08  0.00000000E+00 -0.71165814E-02 -0.15106287E-04  0.00000000E+00
 85  0.48552024E+01  0.87206499E+00  0.57295106E-04 -0.13524069E-07  0.00000000E+00 -0.70592863E-02 -0.15119811E-04  0.00000000E+00
 84  0.48408523E+01  0.87817803E+00 -0.13070542E-03 -0.46157827E-07  0.00000000E+00 -0.71899917E-02 -0.15165968E-04  0.00000000E+00
 83  0.48266672E+01  0.88414529E+00 -0.58592545E-03 -0.10251462E-06  0.00000000E+00 -0.77759171E-02 -0.15268483E-04  0.00000000E+00
 82  0.48126017E+01  0.88996814E+00 -0.13467645E-02 -0.18238917E-06  0.00000000E+00 -0.91226816E-02 -0.15450872E-04  0.00000000E+00
 81  0.47985898E+01  0.89564666E+00 -0.23837467E-02 -0.28434872E-06  0.00000000E+00 -0.11506428E-01 -0.15735221E-04  0.00000000E+00
 80  0.47845406E+01  0.90117922E+00 -0.35855361E-02 -0.40513682E-06  0.00000000E+00 -0.15091964E-01 -0.16140358E-04  0.00000000E+00
 79  0.47703525E+01  0.90656250E+00 -0.47581014E-02 -0.54000408E-06  0.00000000E+00 -0.19850066E-01 -0.16680362E-04  0.00000000E+00
 78  0.47559192E+01  0.91179143E+00 -0.56460433E-02 -0.68154456E-06  0.00000000E+00 -0.25496109E-01 -0.17361906E-04  0.00000000E+00
 77  0.47410906E+01  0.91685872E+00 -0.59758908E-02 -0.81762502E-06  0.00000000E+00 -0.31472000E-01 -0.18179531E-04  0.00000000E+00
 76  0.47256478E+01  0.92175394E+00 -0.54949428E-02 -0.93396446E-06  0.00000000E+00 -0.36966943E-01 -0.19113496E-04  0.00000000E+00
 75  0.47093257E+01  0.92646320E+00 -0.40373619E-02 -0.10175974E-05  0.00000000E+00 -0.41004305E-01 -0.20131093E-04  0.00000000E+00
 74  0.46917544E+01  0.93096799E+00 -0.31778619E-02 -0.21827315E-02  0.00000000E+00 -0.44182167E-01 -0.22028626E-02  0.00000000E+00
 73  0.46737075E+01  0.93526166E+00 -0.24077014E-02 -0.42219058E-02  0.00000000E+00 -0.46589868E-01 -0.64247684E-02  0.00000000E+00
 72  0.46557931E+01  0.93934660E+00 -0.16148500E-02 -0.52230576E-02  0.00000000E+00 -0.48204718E-01 -0.11647826E-01  0.00000000E+00
 71  0.46380660E+01  0.94322726E+00 -0.11566796E-02 -0.57178487E-02  0.00000000E+00 -0.49361398E-01 -0.17365675E-01  0.00000000E+00
 70  0.46203696E+01  0.94690856E+00 -0.10825900E-02 -0.57698318E-02  0.00000000E+00 -0.50443988E-01 -0.23135507E-01  0.00000000E+00
 69  0.46024548E+01  0.95039508E+00 -0.13162813E-02 -0.54044474E-02  0.00000000E+00 -0.51760269E-01 -0.28539954E-01  0.00000000E+00
 68  0.45842236E+01  0.95369211E+00 -0.16990076E-02 -0.46282253E-02  0.00000000E+00 -0.53459276E-01 -0.33168179E-01  0.00000000E+00
 67  0.45658859E+01  0.95680701E+00 -0.20233734E-02 -0.33743987E-02  0.00000000E+00 -0.55482650E-01 -0.36542578E-01  0.00000000E+00
 66  0.45478012E+01  0.95974882E+00 -0.18921258E-02 -0.11270383E-02  0.00000000E+00 -0.57374776E-01 -0.37669616E-01  0.00000000E+00
 65  0.45302490E+01  0.96252681E+00 -0.20275132E-02 -0.12008243E-05  0.00000000E+00 -0.59402289E-01 -0.37670817E-01  0.00000000E+00
 64  0.45132448E+01  0.96514855E+00 -0.23405064E-02 -0.11628694E-05  0.00000000E+00 -0.61742795E-01 -0.37671980E-01  0.00000000E+00
 63  0.44967086E+01  0.96761978E+00 -0.24149444E-02 -0.11082593E-05  0.00000000E+00 -0.64157740E-01 -0.37673088E-01  0.00000000E+00
 62  0.44805440E+01  0.96994490E+00 -0.23075193E-02 -0.10402741E-05  0.00000000E+00 -0.66465259E-01 -0.37674129E-01  0.00000000E+00
 61  0.44646379E+01  0.97212723E+00 -0.20646661E-02 -0.96323326E-06  0.00000000E+00 -0.68529925E-01 -0.37675092E-01  0.00000000E+00
 60  0.44488652E+01  0.97416931E+00 -0.17266476E-02 -0.88022615E-06  0.00000000E+00 -0.70256573E-01 -0.37675972E-01  0.00000000E+00
 59  0.44330558E+01  0.97607300E+00 -0.13241658E-02 -0.79373444E-06  0.00000000E+00 -0.71580738E-01 -0.37676766E-01  0.00000000E+00
 58  0.44169825E+01  0.97783953E+00 -0.11329354E-02 -0.80650008E-03  0.00000000E+00 -0.72713674E-01 -0.38483266E-01  0.00000000E+00
 57  0.44004026E+01  0.97946986E+00 -0.93418071E-03 -0.16198148E-02  0.00000000E+00 -0.73647855E-01 -0.40103081E-01  0.00000000E+00
 56  0.43830208E+01  0.98096484E+00 -0.62498221E-03 -0.20269338E-02  0.00000000E+00 -0.74272837E-01 -0.42130014E-01  0.00000000E+00
 55  0.43643867E+01  0.98232504E+00 -0.26293104E-03 -0.22703663E-02  0.00000000E+00 -0.74535768E-01 -0.44400381E-01  0.00000000E+00
 54  0.43438340E+01  0.98355060E+00  0.15331123E-03 -0.23959269E-02  0.00000000E+00 -0.74382457E-01 -0.46796308E-01  0.00000000E+00
 53  0.43205168E+01  0.98464115E+00  0.64029479E-03 -0.23707370E-02  0.00000000E+00 -0.73742162E-01 -0.49167045E-01  0.00000000E+00
 52  0.42938770E+01  0.98559693E+00  0.11890629E-02 -0.20762675E-02  0.00000000E+00 -0.72553099E-01 -0.51243312E-01  0.00000000E+00
 51  0.42644825E+01  0.98642131E+00  0.17167068E-02 -0.15206007E-02  0.00000000E+00 -0.70836392E-01 -0.52763913E-01  0.00000000E+00
 50  0.42319608E+01  0.98712102E+00  0.21299595E-02 -0.92031279E-03  0.00000000E+00 -0.68706433E-01 -0.53684226E-01  0.00000000E+00
 49  0.41931253E+01  0.98770390E+00  0.24190353E-02 -0.43879935E-03  0.00000000E+00 -0.66287397E-01 -0.54123025E-01  0.00000000E+00
 48  0.41527622E+01  0.98818365E+00  0.22126570E-02 -0.22983270E-03  0.00000000E+00 -0.64074740E-01 -0.54352858E-01  0.00000000E+00
 47  0.41233143E+01  0.98858262E+00  0.17887639E-02 -0.15147726E-03  0.00000000E+00 -0.62285976E-01 -0.54504335E-01  0.00000000E+00
 46  0.41030415E+01  0.98891800E+00  0.14789442E-02 -0.99918842E-04  0.00000000E+00 -0.60807032E-01 -0.54604254E-01  0.00000000E+00
 45  0.40879173E+01  0.98920167E+00  0.12568343E-02 -0.66981346E-04  0.00000000E+00 -0.59550198E-01 -0.54671235E-01  0.00000000E+00
 44  0.40757634E+01  0.98944246E+00  0.10852083E-02 -0.48537812E-04  0.00000000E+00 -0.58464990E-01 -0.54719773E-01  0.00000000E+00
 43  0.40654996E+01  0.98964732E+00  0.94359316E-03 -0.39764214E-04  0.00000000E+00 -0.57521396E-01 -0.54759537E-01  0.00000000E+00
 42  0.40565501E+01  0.98982191E+00  0.82464404E-03 -0.36803939E-04  0.00000000E+00 -0.56696752E-01 -0.54796341E-01  0.00000000E+00
 41  0.40485823E+01  0.98997094E+00  0.72220930E-03 -0.36853819E-04  0.00000000E+00 -0.55974543E-01 -0.54833195E-01  0.00000000E+00
 40  0.40413927E+01  0.99009831E+00  0.63330925E-03 -0.38130558E-04  0.00000000E+00 -0.55341234E-01 -0.54871325E-01  0.00000000E+00
 39  0.40343894E+01  0.99022318E+00  0.63800631E-03 -0.46055722E-04  0.00000000E+00 -0.54703227E-01 -0.54917381E-01  0.00000000E+00
 38  0.40269795E+01  0.99034540E+00  0.64431091E-03 -0.56664671E-04  0.00000000E+00 -0.54058917E-01 -0.54974046E-01  0.00000000E+00
 37  0.40190262E+01  0.99046481E+00  0.65215170E-03 -0.70289827E-04  0.00000000E+00 -0.53406765E-01 -0.55044336E-01  0.00000000E+00
 36  0.40103493E+01  0.99058123E+00  0.66271970E-03 -0.87771480E-04  0.00000000E+00 -0.52744045E-01 -0.55132107E-01  0.00000000E+00
 35  0.40007018E+01  0.99069444E+00  0.67687035E-03 -0.11007297E-03  0.00000000E+00 -0.52067175E-01 -0.55242180E-01  0.00000000E+00
 34  0.39897306E+01  0.99080418E+00  0.69615472E-03 -0.13866444E-03  0.00000000E+00 -0.51371020E-01 -0.55380845E-01  0.00000000E+00
 33  0.39769131E+01  0.99091017E+00  0.72285482E-03 -0.17568362E-03  0.00000000E+00 -0.50648165E-01 -0.55556528E-01  0.00000000E+00
 32  0.39614590E+01  0.99101204E+00  0.75877215E-03 -0.22316376E-03  0.00000000E+00 -0.49889393E-01 -0.55779692E-01  0.00000000E+00
 31  0.39422358E+01  0.99110941E+00  0.79325627E-03 -0.27421862E-03  0.00000000E+00 -0.49096137E-01 -0.56053911E-01  0.00000000E+00
 30  0.39182528E+01  0.99120205E+00  0.75028604E-03 -0.27363432E-03  0.00000000E+00 -0.48345851E-01 -0.56327545E-01  0.00000000E+00
 29  0.38913834E+01  0.99129050E+00  0.50783304E-03 -0.14212320E-03  0.00000000E+00 -0.47838018E-01 -0.56469668E-01  0.00000000E+00
 28  0.38673382E+01  0.99137636E+00  0.25979616E-03 -0.29693661E-04  0.00000000E+00 -0.47578222E-01 -0.56499362E-01  0.00000000E+00
 27  0.38484960E+01  0.99146121E+00  0.14699979E-03 -0.28470970E-05  0.00000000E+00 -0.47431222E-01 -0.56502209E-01  0.00000000E+00
 26  0.38336723E+01  0.99154614E+00  0.99814103E-04 -0.15066658E-05  0.00000000E+00 -0.47331408E-01 -0.56503716E-01  0.00000000E+00
 25  0.38216228E+01  0.99163189E+00  0.75721422E-04 -0.36673331E-05  0.00000000E+00 -0.47255686E-01 -0.56507383E-01  0.00000000E+00
 24  0.38116021E+01  0.99171905E+00  0.61381739E-04 -0.51230043E-05  0.00000000E+00 -0.47194305E-01 -0.56512506E-01  0.00000000E+00
 23  0.38031236E+01  0.99180814E+00  0.52168523E-04 -0.50347186E-05  0.00000000E+00 -0.47142136E-01 -0.56517541E-01  0.00000000E+00
 22  0.37958365E+01  0.99189961E+00  0.46555790E-04 -0.25167085E-05  0.00000000E+00 -0.47095580E-01 -0.56520057E-01  0.00000000E+00
 21  0.37894824E+01  0.99199395E+00  0.41818425E-04 -0.55939712E-08  0.00000000E+00 -0.47053762E-01 -0.56520063E-01  0.00000000E+00
 20  0.37838722E+01  0.99209161E+00  0.36823670E-04 -0.63267302E-08  0.00000000E+00 -0.47016938E-01 -0.56520069E-01  0.00000000E+00
 19  0.37788676E+01  0.99219311E+00  0.32832107E-04 -0.69557528E-08  0.00000000E+00 -0.46984106E-01 -0.56520076E-01  0.00000000E+00
 18  0.37743671E+01  0.99229901E+00  0.29577932E-04 -0.75021308E-08  0.00000000E+00 -0.46954528E-01 -0.56520084E-01  0.00000000E+00
 17  0.37702938E+01  0.99240993E+00  0.26882195E-04 -0.79827943E-08  0.00000000E+00 -0.46927646E-01 -0.56520092E-01  0.00000000E+00
 16  0.37665882E+01  0.99252658E+00  0.24619941E-04 -0.84112553E-08  0.00000000E+00 -0.46903026E-01 -0.56520100E-01  0.00000000E+00
 15  0.37632034E+01  0.99264983E+00  0.22701366E-04 -0.87983741E-08  0.00000000E+00 -0.46880325E-01 -0.56520109E-01  0.00000000E+00
 14  0.37601019E+01  0.99278067E+00  0.21060546E-04 -0.91530025E-08  0.00000000E+00 -0.46859264E-01 -0.56520118E-01  0.00000000E+00
 13  0.37572534E+01  0.99292031E+00  0.19647965E-04 -0.94825701E-08  0.00000000E+00 -0.46839616E-01 -0.56520127E-01  0.00000000E+00
 12  0.37546329E+01  0.99307027E+00  0.18426030E-04 -0.97934943E-08  0.00000000E+00 -0.46821190E-01 -0.56520137E-01  0.00000000E+00
 11  0.37522200E+01  0.99323242E+00  0.17366067E-04 -0.10091537E-07  0.00000000E+00 -0.46803824E-01 -0.56520147E-01  0.00000000E+00
 10  0.37499978E+01  0.99340917E+00  0.16445955E-04 -0.10382210E-07  0.00000000E+00 -0.46787378E-01 -0.56520158E-01  0.00000000E+00
  9  0.37479524E+01  0.99360370E+00  0.15648708E-04 -0.10671158E-07  0.00000000E+00 -0.46771729E-01 -0.56520168E-01  0.00000000E+00
  8  0.37460725E+01  0.99382028E+00  0.14961545E-04 -0.10964640E-07  0.00000000E+00 -0.46756768E-01 -0.56520179E-01  0.00000000E+00
  7  0.37443495E+01  0.99406491E+00  0.14375429E-04 -0.11270185E-07  0.00000000E+00 -0.46742392E-01 -0.56520191E-01  0.00000000E+00
  6  0.37427769E+01  0.99434636E+00  0.13885165E-04 -0.11597674E-07  0.00000000E+00 -0.46728507E-01 -0.56520202E-01  0.00000000E+00
  5  0.37413507E+01  0.99467819E+00  0.13490244E-04 -0.11961325E-07  0.00000000E+00 -0.46715017E-01 -0.56520214E-01  0.00000000E+00
  4  0.37400699E+01  0.99508302E+00  0.13197350E-04 -0.12383812E-07  0.00000000E+00 -0.46701820E-01 -0.56520227E-01  0.00000000E+00
  3  0.37389367E+01  0.99560297E+00  0.13027039E-04 -0.12906361E-07  0.00000000E+00 -0.46688793E-01 -0.56520240E-01  0.00000000E+00
  2  0.37379590E+01  0.99633101E+00  0.13033784E-04 -0.13628993E-07  0.00000000E+00 -0.46675759E-01 -0.56520253E-01  0.00000000E+00
  1  0.37368539E+01  0.10000000E+01  0.28265699E-04  0.00000000E+00  0.00000000E+00 -0.46647493E-01 -0.56520253E-01  0.00000000E+00
#KINETIC ENERGY: 0.13565708E+43
