#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
150  0.63011411E+01  0.14213482E+00  0.10850006E-08  0.00000000E+00  0.00000000E+00  0.10850006E-08  0.00000000E+00  0.00000000E+00
149  0.62591492E+01  0.15356585E+00 -0.11263994E-07  0.00000000E+00  0.00000000E+00 -0.10178993E-07  0.00000000E+00  0.00000000E+00
148  0.62187024E+01  0.16520211E+00 -0.21309249E-07  0.00000000E+00  0.00000000E+00 -0.31488242E-07  0.00000000E+00  0.00000000E+00
147  0.61798096E+01  0.17702360E+00 -0.10459239E-07  0.00000000E+00  0.00000000E+00 -0.41947482E-07  0.00000000E+00  0.00000000E+00
146  0.61424424E+01  0.18901515E+00 -0.52284232E-08  0.00000000E+00  0.00000000E+00 -0.47175905E-07  0.00000000E+00  0.00000000E+00
145  0.61065795E+01  0.20116584E+00  0.17062816E-06 -0.10794211E-08  0.00000000E+00  0.12345226E-06 -0.10794211E-08  0.00000000E+00
144  0.60720944E+01  0.21346519E+00 -0.11011828E-07 -0.15002979E-08  0.00000000E+00  0.11244043E-06 -0.25797190E-08  0.00000000E+00
143  0.60388001E+01  0.22590097E+00 -0.13125391E-07 -0.20698777E-08  0.00000000E+00  0.99315038E-07 -0.46495967E-08  0.00000000E+00
142  0.60066120E+01  0.23846198E+00 -0.20278018E-07 -0.28315087E-08  0.00000000E+00  0.79037019E-07 -0.74811054E-08  0.00000000E+00
141  0.59755141E+01  0.25113971E+00 -0.26621136E-07 -0.38384530E-08  0.00000000E+00  0.52415883E-07 -0.11319558E-07  0.00000000E+00
140  0.59454888E+01  0.26392787E+00 -0.44814635E-07 -0.51550188E-08  0.00000000E+00  0.76012481E-08 -0.16474577E-07  0.00000000E+00
139  0.59164966E+01  0.27682124E+00 -0.67299146E-07 -0.68571998E-08  0.00000000E+00 -0.59697898E-07 -0.23331777E-07  0.00000000E+00
138  0.58884579E+01  0.28981405E+00 -0.10376469E-06 -0.90327222E-08  0.00000000E+00 -0.16346259E-06 -0.32364499E-07  0.00000000E+00
137  0.58612747E+01  0.30289914E+00 -0.15101080E-06 -0.11780475E-07  0.00000000E+00 -0.31447338E-06 -0.44144974E-07  0.00000000E+00
136  0.58348523E+01  0.31606789E+00 -0.20687728E-06 -0.15209457E-07  0.00000000E+00 -0.52135067E-06 -0.59354431E-07  0.00000000E+00
135  0.58091323E+01  0.32931124E+00 -0.28975044E-06 -0.19437202E-07  0.00000000E+00 -0.81110110E-06 -0.78791633E-07  0.00000000E+00
134  0.57840813E+01  0.34262034E+00 -0.41615321E-06 -0.24586692E-07  0.00000000E+00 -0.12272543E-05 -0.10337832E-06  0.00000000E+00
133  0.57596614E+01  0.35598625E+00 -0.59902964E-06 -0.30780673E-07  0.00000000E+00 -0.18262840E-05 -0.13415900E-06  0.00000000E+00
132  0.57358194E+01  0.36939933E+00 -0.79911299E-06 -0.38133732E-07  0.00000000E+00 -0.26253969E-05 -0.17229273E-06  0.00000000E+00
131  0.57124988E+01  0.38284902E+00 -0.10827635E-05 -0.46743700E-07  0.00000000E+00 -0.37081604E-05 -0.21903643E-06  0.00000000E+00
130  0.56896600E+01  0.39632442E+00 -0.15033210E-05 -0.56681722E-07  0.00000000E+00 -0.52114814E-05 -0.27571815E-06  0.00000000E+00
129  0.56672436E+01  0.40981350E+00 -0.19004392E-05 -0.67979006E-07  0.00000000E+00 -0.71119206E-05 -0.34369716E-06  0.00000000E+00
128  0.56451902E+01  0.42330322E+00 -0.24067842E-05 -0.80615158E-07  0.00000000E+00 -0.95187048E-05 -0.42431232E-06  0.00000000E+00
127  0.56234737E+01  0.43678064E+00 -0.30658838E-05 -0.94510038E-07  0.00000000E+00 -0.12584589E-04 -0.51882235E-06  0.00000000E+00
126  0.56020757E+01  0.45023317E+00 -0.37977382E-05 -0.10951417E-06  0.00000000E+00 -0.16382327E-04 -0.62833652E-06  0.00000000E+00
125  0.55809909E+01  0.46364900E+00 -0.50029282E-05 -0.12540175E-06  0.00000000E+00 -0.21385255E-04 -0.75373827E-06  0.00000000E+00
124  0.55602240E+01  0.47701744E+00 -0.64257526E-05 -0.14186539E-06  0.00000000E+00 -0.27811008E-04 -0.89560367E-06  0.00000000E+00
123  0.55397696E+01  0.49032848E+00 -0.79765278E-05 -0.15851232E-06  0.00000000E+00 -0.35787535E-04 -0.10541160E-05  0.00000000E+00
122  0.55196284E+01  0.50357296E+00 -0.10297580E-04 -0.17486824E-06  0.00000000E+00 -0.46085115E-04 -0.12289842E-05  0.00000000E+00
121  0.54997982E+01  0.51674237E+00 -0.13045717E-04 -0.19038406E-06  0.00000000E+00 -0.59130831E-04 -0.14193683E-05  0.00000000E+00
120  0.54802632E+01  0.52982839E+00 -0.16035322E-04 -0.20444785E-06  0.00000000E+00 -0.75166154E-04 -0.16238161E-05  0.00000000E+00
119  0.54610037E+01  0.54282269E+00 -0.18880897E-04 -0.21640960E-06  0.00000000E+00 -0.94047050E-04 -0.18402257E-05  0.00000000E+00
118  0.54420048E+01  0.55571702E+00 -0.22717750E-04 -0.22561558E-06  0.00000000E+00 -0.11676480E-03 -0.20658413E-05  0.00000000E+00
117  0.54232535E+01  0.56850330E+00 -0.27434869E-04 -0.23144351E-06  0.00000000E+00 -0.14419967E-03 -0.22972848E-05  0.00000000E+00
116  0.54047227E+01  0.58117308E+00 -0.30831583E-04 -0.23333956E-06  0.00000000E+00 -0.17503125E-03 -0.25306244E-05  0.00000000E+00
115  0.53863806E+01  0.59371738E+00 -0.33944397E-04 -0.23086856E-06  0.00000000E+00 -0.20897565E-03 -0.27614929E-05  0.00000000E+00
114  0.53682007E+01  0.60612692E+00 -0.38092599E-04 -0.22376608E-06  0.00000000E+00 -0.24706825E-03 -0.29852590E-05  0.00000000E+00
113  0.53501512E+01  0.61839192E+00 -0.41061920E-04 -0.21197829E-06  0.00000000E+00 -0.28813017E-03 -0.31972373E-05  0.00000000E+00
112  0.53321866E+01  0.63050174E+00 -0.40043347E-04 -0.19569646E-06  0.00000000E+00 -0.32817351E-03 -0.33929338E-05  0.00000000E+00
111  0.53142620E+01  0.64244497E+00 -0.39641398E-04 -0.17538981E-06  0.00000000E+00 -0.36781491E-03 -0.35683236E-05  0.00000000E+00
110  0.52963341E+01  0.65420959E+00 -0.37345556E-04 -0.15181119E-06  0.00000000E+00 -0.40516047E-03 -0.37201348E-05  0.00000000E+00
109  0.52783400E+01  0.66578250E+00 -0.27666578E-04 -0.12598068E-06  0.00000000E+00 -0.43282705E-03 -0.38461155E-05  0.00000000E+00
108  0.52602173E+01  0.67714973E+00 -0.17714328E-04 -0.99163883E-07  0.00000000E+00 -0.45054137E-03 -0.39452793E-05  0.00000000E+00
107  0.52419220E+01  0.68829721E+00 -0.89808267E-05 -0.72811411E-07  0.00000000E+00 -0.45952220E-03 -0.40180907E-05  0.00000000E+00
106  0.52234120E+01  0.69921102E+00  0.28578785E-05 -0.48471384E-07  0.00000000E+00 -0.45666432E-03 -0.40665621E-05  0.00000000E+00
105  0.52046510E+01  0.70987778E+00  0.14600111E-04 -0.27696106E-07  0.00000000E+00 -0.44206421E-03 -0.40942582E-05  0.00000000E+00
104  0.51856437E+01  0.72028594E+00  0.17995951E-04 -0.11939974E-07  0.00000000E+00 -0.42406826E-03 -0.41061982E-05  0.00000000E+00
