                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "48b8e84"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260325"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                                 logT_max                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err     log_rel_error_in_energy_conservation                              num_retries                                num_iters                    log_total_drag_energy                                  Mag_bol                                 Flux_bol                               Interp_rad                                        g                                 g_filter                                        i                                 i_filter                                        r                                 r_filter                                        u                                 u_filter                                        y                                 y_filter                                        z                                 z_filter 
                                    4297                                     1051                  1.7935936395200711E+007                 -4.7501634395383610E+000                  3.4251318182848660E+000                  3.3833183200598491E+001                 -9.8999999999999986E+001                  9.6017560595401612E+000                  0.0000000000000000E+000                  3.1429586421100580E-001                  2.5142898673704339E-001                  5.4545034851190499E-001                  5.1767685429545429E-001                  3.2145744176954899E-001                  2.4552915425920852E-001                  5.5921603882374860E-001                  5.1387899500869760E-001                                        0                  2.1249482519218113E-001                                        2                  2.1533866197862972E-001                                        1                  2.3020704869792535E-001                                        2                  2.3363386102932224E-001                                        0                  2.4552915425920852E-001                                        2                  2.5142898673704339E-001                                        1                  3.1594811864874545E-001                                        2                  3.2297931817460301E-001                                        0                  5.1387899500869760E-001                                        2                  5.1767685429545429E-001                                        1                  5.4545034851190499E-001                                        2                  5.4742615443385090E-001                                        1                  5.5921603882374860E-001                                        2                  5.6052884536880532E-001                                        0                  5.8068517981462919E-001                                        1                  5.8443848920369779E-001                                        2                  5.8511724862843506E-001                                        0                  9.9999900494387173E-001                                        2                  9.9999915520332261E-001                                        1                  1.0000000000000000E+000                 -6.3976105934110556E+000                  6.3315441487434141E+000                  1.0777038189738887E+001                  1.9632473442191213E+001                 -6.3976105974844382E+000                 -1.4425439705432670E+001                  6.3315441487434141E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5797082086716113E+033                  3.6295401183008655E+033                  3.8715787534559901E+033                  3.8760715100489407E+033                  4.4098488644785074E+033                  4.4862497124340376E+033                                      -13                  7.8797739803234845E-002                                      -12                  2.3706067193195529E-001                                      -11                  3.1429586421100580E-001                                      -10                  3.8579655079332503E-001                                      -11                  4.2053854264976792E-001                                      -10                  4.2141210447059479E-001                                      -11                  4.2315578969541384E-001                                      -10                  4.3481315910082480E-001                                      -11                  4.8630847273859718E-001                                      -10                  5.0228907458465555E-001                                       -9                  5.1568459555450430E-001                                       -8                  5.2742227953029874E-001                                       -7                  5.3844877856801210E-001                                       -6                  5.5088521218287057E-001                                       -5                  5.6899728592559518E-001                                       -4                  5.6963199135904263E-001                                        4                  5.6980636968859566E-001                                        5                  5.7032554700023952E-001                                        6                  5.7119691025074626E-001                                        7                  5.7244897638562919E-001                  3.4251318182848660E+000                  2.0662183275129906E+000                  1.9305055473333732E+000                  1.0877677181352239E+000                  1.0498017219571851E+000                  4.5595549103604940E+000                  4.4938010879203087E+000                  6.5044388410366316E-001                  3.6718571493336252E+000                 -5.3715313553077307E-002                  9.6012553292430756E+000                  7.9883618081328152E+000                  2.5386473211608887E+001                  7.9883618081328152E+000                  9.6012553292430756E+000                  2.0386213041339518E+000                  4.7235919233788914E-001                  5.5040619985798656E+001                  0.0000000000000000E+000                  4.7459739526861606E-006                  3.5354279093586892E-012                  2.0437839049778618E-009                  1.4483161448621600E-004                  6.9783519723586756E-004                  3.2794718918392455E-033                  1.3313622296948440E+000                 -2.5120494477817188E-009                 -8.5999718160943210E+000                 -4.5079207997079553E+000                 -8.5999718160943210E+000                                        0                                       10                  3.8331234912794457E+001                  3.9726185998645917E+001                  1.2868431068821743E-016                  9.9988000000000000E+014                  2.8433289351302435E+001                  2.8419179050745583E+001                  2.9235490194088364E+001                  2.9236168176791537E+001                  2.8882754107914725E+001                  2.8874211989507973E+001                  2.8173288403008904E+001                  2.8025689579263325E+001                  2.9783150441967784E+001                  2.9753406434272804E+001                  2.9463221858088168E+001                  2.9479924541260011E+001 
                                    4298                                     1046                  1.7935936395222042E+007                 -4.6709821934907358E+000                  3.4251318182848660E+000                  3.3833183200598491E+001                 -9.8999999999999986E+001                  9.6024894942946304E+000                  0.0000000000000000E+000                  3.1429586421100580E-001                  2.8056008052902126E-001                  5.4545034851190499E-001                  5.1767690121115628E-001                  5.5921602518651037E-001                  5.1389856404006107E-001                  3.1870279453224820E-001                  2.7693746215387965E-001                                        0                  2.1533860708512209E-001                                        1                  2.2440985305047467E-001                                        0                  2.4793317648678379E-001                                        2                  2.5033725780556859E-001                                        1                  2.6079673754003346E-001                                        0                  2.7693746215387965E-001                                        2                  2.8056008052902126E-001                                        1                  3.1594813009834055E-001                                        2                  3.2007815890377089E-001                                        0                  5.1389856404006107E-001                                        2                  5.1767690121115628E-001                                        1                  5.4545034851190499E-001                                        2                  5.4742615443385090E-001                                        1                  5.5921602518651037E-001                                        2                  5.6052884536880532E-001                                        0                  5.8068505973775120E-001                                        1                  5.8443880413702476E-001                                        2                  5.8511724862843506E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -6.7848581325552333E+000                  6.3387060009101477E+000                  1.0764337199769924E+001                  1.9675187544911587E+001                 -6.7848581325635413E+000                 -1.7503148780344439E+001                  6.3387060009101477E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5810808991033097E+033                  3.6304470876927538E+033                  3.8715411617415393E+033                  3.8760204105606531E+033                  4.4102677473916961E+033                  4.4868430453009255E+033                                      -13                  7.8797739803234845E-002                                      -12                  2.4129489268241483E-001                                      -11                  3.1429586421100580E-001                                      -10                  3.8379561079349128E-001                                      -11                  4.2402591309940613E-001                                      -10                  4.3481315910082480E-001                                      -11                  4.8630847273859718E-001                                      -10                  5.0293171857531083E-001                                       -9                  5.1631071480134272E-001                                       -8                  5.2742227953029874E-001                                       -7                  5.3844877856801210E-001                                       -6                  5.5088521218287057E-001                                       -5                  5.6899728592559518E-001                                       -4                  5.6962497978647464E-001                                        4                  5.6980217781532472E-001                                        5                  5.7031811514016728E-001                                        6                  5.7118450042750024E-001                                        7                  5.7243017993947864E-001                                        8                  5.7428978391667307E-001                                        9                  5.9352821068064965E-001                  3.4251318182848660E+000                  2.0662183275129906E+000                  1.9305055473333732E+000                  1.0895019274907121E+000                  9.6114789062430717E-001                  4.5626532681635696E+000                  4.5059741387350467E+000                  6.5033369390488049E-001                  3.6720775297311903E+000                 -5.3877546185118141E-002                  9.6019782661897377E+000                  7.9948113191864776E+000                  2.5394040284669963E+001                  7.9948113191864776E+000                  9.6019782661897377E+000                  2.0404919742028378E+000                  4.7192603003143352E-001                  5.5090775064934483E+001                  0.0000000000000000E+000                  4.8664784191019138E-006                  3.0523650759804286E-012                  1.7436128144793944E-009                  1.4483161448621600E-004                  6.9783519723586756E-004                  3.2159459079444590E-033                  1.3313622233690450E+000                 -5.6742390903088315E-009                 -8.2460923686786636E+000                 -4.5088828978072497E+000                 -8.2460923686786636E+000                                        0                                       10                  3.8355326729179751E+001                  3.9726736949639829E+001                  1.2861902709261461E-016                  9.9988000000000000E+014                  2.8433840302296353E+001                  2.8419730001739495E+001                  2.9236041145082275E+001                  2.9236719127785452E+001                  2.8883305058908636E+001                  2.8874762940501885E+001                  2.8173839354002823E+001                  2.8026240530257240E+001                  2.9783701392961696E+001                  2.9753957385266716E+001                  2.9463772809082080E+001                  2.9480475492253923E+001 
                                    4299                                     1044                  1.7935936395247638E+007                 -4.5918009474431116E+000                  3.4251318182848660E+000                  3.3833183200598491E+001                 -9.8999999999999986E+001                  9.6032766865687389E+000                  0.0000000000000000E+000                  5.4545034851190499E-001                  5.1767685927706708E-001                  2.9721252843237250E-001                  2.8029235698194332E-001                  5.5921603503107764E-001                  5.1389794733654170E-001                  2.9721252843237250E-001                  2.7693806823697958E-001                                        0                  2.1249482519218221E-001                                        2                  2.1533873298059145E-001                                        1                  2.2440984861802626E-001                                        2                  2.2730845158858470E-001                                        0                  2.7693806823697958E-001                                        2                  2.8029235698194332E-001                                        1                  3.0223880883528903E-001                                        0                  5.1389794733654170E-001                                        2                  5.1767685927706708E-001                                        1                  5.4545034851190499E-001                                        2                  5.4742615443385090E-001                                        1                  5.5921603503107764E-001                                        2                  5.6052884536880532E-001                                        0                  5.8068518430041749E-001                                        1                  5.8443874243890159E-001                                        2                  5.8511724862843506E-001                                        0                  9.9999901112451284E-001                                        2                  9.9999921610353393E-001                                        1                  9.9999997530021634E-001                                        0                  1.0000000000000000E+000                 -6.9921705641501184E+000                  6.3478826328461073E+000                  1.0754821468791377E+001                  1.9724379294704299E+001                 -6.9921705641599141E+000                 -1.7638911500214217E+001                  6.3478826328461073E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5828465662060462E+033                  3.6316748053379881E+033                  3.8714946818032843E+033                  3.8759572085959784E+033                  4.4107994792471012E+033                  4.4875969905659237E+033                                      -13                  7.8797739803234845E-002                                      -12                  2.4129489268241483E-001                                      -11                  3.1429586421100580E-001                                      -10                  3.8273394319874027E-001                                      -11                  4.2769269945461125E-001                                      -10                  4.3413447578470038E-001                                      -11                  4.8630847273859718E-001                                      -10                  5.0293171857531083E-001                                       -9                  5.1631071480134272E-001                                       -8                  5.2786985640426098E-001                                       -7                  5.3844877856801210E-001                                       -6                  5.5088521218287057E-001                                       -5                  5.6899728592559518E-001                                       -4                  5.6961621538132567E-001                                        4                  5.6979696404575675E-001                                        5                  5.7030890609575513E-001                                        6                  5.7116912484732740E-001                                        7                  5.7240686881850344E-001                                        8                  5.7425344628957120E-001                                        9                  5.9381756190291402E-001                  3.4251318182848660E+000                  2.0662183275129906E+000                  1.9305055473333732E+000                  1.0895019274964692E+000                  9.5429227203763045E-001                  4.5784599314040015E+000                  4.5689484670245193E+000                  6.5020753156875355E-001                  3.6723298544034444E+000                 -4.4822756128636045E-002                  9.6027658145719190E+000                  8.0029137048213936E+000                  2.5403582798780675E+001                  8.0029137048213936E+000                  9.6027658145719190E+000                  2.0424908316925885E+000                  4.7146406855899348E-001                  5.5144385643249414E+001                  0.0000000000000000E+000                  4.9843803094565250E-006                  2.6059717003746290E-012                  1.4694001480747121E-009                  1.4483161448621600E-004                  6.9783519723586756E-004                  3.2148038617653707E-033                  1.3313622159713960E+000                 -3.3499364697540398E-008                 -7.4749634291114759E+000                 -4.5096734924398278E+000                 -7.4749634291114759E+000                                        0                                       10                  3.8398648125289405E+001                  3.9727367761320465E+001                  1.2854432126687990E-016                  9.9988000000000000E+014                  2.8434471113976983E+001                  2.8420360813420128E+001                  2.9236671956762912E+001                  2.9237349939466085E+001                  2.8883935870589269E+001                  2.8875393752182525E+001                  2.8174470165683452E+001                  2.8026871341937873E+001                  2.9784332204642329E+001                  2.9754588196947353E+001                  2.9464403620762710E+001                  2.9481106303934553E+001 
                                    4300                                     1042                  1.7935936395278357E+007                 -4.5126197013954865E+000                  3.4251318182848660E+000                  3.3833183200598491E+001                 -9.8999999999999986E+001                  9.6040159651908112E+000                  0.0000000000000000E+000                  5.4545034851190499E-001                  5.1767685117786000E-001                  3.1429586421100580E-001                  3.0223881518807516E-001                  5.5921603632162487E-001                  5.1390553541871364E-001                  3.1594813301473901E-001                  2.9721252843237522E-001                                        0                  2.8623929949741955E-001                                        1                  2.9721252843236262E-001                                        0                  2.9721252843237522E-001                                        2                  3.0223881518807516E-001                                        1                  3.1594813301473901E-001                                        2                  3.1870279453224803E-001                                        0                  5.1390553541871364E-001                                        2                  5.1767685117786000E-001                                        1                  5.4545034851190499E-001                                        2                  5.4742615443385090E-001                                        1                  5.5921603632162487E-001                                        2                  5.6052884536880532E-001                                        0                  5.8068506244972196E-001                                        1                  5.8443899093337992E-001                                        2                  5.8511724862843506E-001                                        0                  9.9999908215316247E-001                                        2                  9.9999925443284610E-001                                        1                  9.9999998280030711E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                 -7.1887671889096074E+000                  6.3589247708953049E+000                  1.0747582374439919E+001                  1.9777087955268840E+001                 -7.1887671889096412E+000                 -2.0299461202777763E+001                  6.3589247708953049E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5848126467321488E+033                  3.6330428529088978E+033                  3.8714409600729281E+033                  3.8758841209194935E+033                  4.4114275814560705E+033                  4.4884864361781048E+033                                      -13                  8.1912058938771459E-002                                      -12                  2.4552911343287448E-001                                      -11                  3.1429586421100580E-001                                      -10                  3.8021100265776370E-001                                      -11                  4.3078776253990952E-001                                      -10                  4.3413447578470038E-001                                      -11                  4.8703642814267473E-001                                      -10                  5.0293171857531083E-001                                       -9                  5.1631071480134272E-001                                       -8                  5.2786985640426098E-001                                       -7                  5.3844877856801210E-001                                       -6                  5.5088521218287057E-001                                       -5                  5.6899728592559518E-001                                       -4                  5.6960594817121712E-001                                        4                  5.6979089268180638E-001                                        5                  5.7029823042369066E-001                                        6                  5.7115130193914587E-001                                        7                  5.7237981371366120E-001                                        8                  5.7420759383857356E-001                                        9                  5.9415895727579138E-001                  3.4251318182848660E+000                  2.0662183275129906E+000                  1.9305055473333732E+000                  1.0898721563709688E+000                  9.5429227203763045E-001                  4.5936902365614891E+000                  4.6293940708210926E+000                  6.4996972315206492E-001                  3.6728054712368214E+000                 -6.2150162844438320E-002                  9.6035180718409627E+000                  8.0127109133494017E+000                  2.5415112006258187E+001                  8.0127109133494017E+000                  9.6035180718409627E+000                  2.0446037850152443E+000                  4.7097672999095930E-001                  5.5201085596561455E+001                  0.0000000000000000E+000                  5.0668140378171042E-006                  2.2038633408276076E-012                  1.2273356906475658E-009                  1.4483161448621600E-004                  6.9783519723586756E-004                  3.2134240983574585E-033                  1.3313622060114969E+000                 -4.0679524554079798E-008                 -7.3906241315788463E+000                 -4.5106281923851421E+000                 -7.3906241315788463E+000                                        0                                       10                  3.8393067537499817E+001                  3.9649995973532093E+001                  1.3803893837867382E-016                  9.9988000000000000E+014                  2.8359813747288491E+001                  2.8345563079966567E+001                  2.9163194131451057E+001                  2.9163877203591579E+001                  2.8811587588875792E+001                  2.8803076344687248E+001                  2.8094498685948963E+001                  2.7946719392725001E+001                  2.9712526924744719E+001                  2.9682734063488077E+001                  2.9392638458920697E+001                  2.9409341853471538E+001 
                                    4301                                     1044                  1.7935936395315219E+007                 -4.4334384553478614E+000                  3.4251318182848660E+000                  3.3833183200598491E+001                 -9.8999999999999986E+001                  9.6047412410189530E+000                  0.0000000000000000E+000                  5.4545034851190499E-001                  5.1767685177292622E-001                  3.1429586421100580E-001                  3.0223911792355990E-001                  5.5921603459205671E-001                  5.1392127753132721E-001                  3.1594646972187340E-001                  2.8326582523140020E-001                                        0                  2.8326582523140020E-001                                        2                  2.8623934416058533E-001                                        1                  2.9721237360298031E-001                                        2                  3.0223911792355990E-001                                        1                  3.1594646972187340E-001                                        2                  3.1870279453224726E-001                                        0                  5.1392127753132721E-001                                        2                  5.1767685177292622E-001                                        1                  5.4545034851190499E-001                                        2                  5.4742615443385090E-001                                        1                  5.5921603459205671E-001                                        2                  5.6052884536880532E-001                                        0                  5.8068497558915555E-001                                        1                  5.8443921625665674E-001                                        2                  5.8511724862843506E-001                                        0                  9.9999913300072740E-001                                        2                  9.9999931192681457E-001                                        1                  9.9999999222324876E-001                                        2                  9.9999999354617564E-001                                        0                  1.0000000000000000E+000                 -7.3001836546391337E+000                  6.3723770472736625E+000                  1.0743717248212983E+001                  1.9834809827001497E+001                 -7.3001836546392154E+000                 -2.0027461059225523E+001                  6.3723770472736625E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5869709031291165E+033                  3.6345570373104162E+033                  3.8713787032848811E+033                  3.8757993702391280E+033                  4.4121723451566451E+033                  4.4895384800068224E+033                                      -13                  8.1912058938771459E-002                                      -12                  2.4793317648678309E-001                                      -11                  3.1594814729494741E-001                                      -10                  3.7916385340258846E-001                                      -11                  4.8703642814267473E-001                                      -10                  5.0357436256596610E-001                                       -9                  5.1699372481878658E-001                                       -8                  5.2831743327822323E-001                                       -7                  5.3883279217461699E-001                                       -6                  5.5088521218287057E-001                                       -5                  5.6899728592559518E-001                                       -4                  5.6959385397847428E-001                                        4                  5.6978379252988054E-001                                        5                  5.7028581476454754E-001                                        6                  5.7113057706051684E-001                                        7                  5.7234830710836160E-001                                        8                  5.7414767755331009E-001                                        9                  5.9456927141919358E-001                                        8                  6.1125554851265995E-001                                        7                  6.2007643787057398E-001                  3.4251318182848660E+000                  2.0662183275129906E+000                  1.9305055473333732E+000                  1.0899564962141020E+000                  9.5429227203763045E-001                  4.6050100030934482E+000                  4.6741078318226208E+000                  6.4968707058891073E-001                  3.6733707763631296E+000                 -5.6871153377526837E-002                  9.6042696790477340E+000                  8.0246239426684269E+000                  2.5429160499449132E+001                  8.0246239426684269E+000                  9.6042696790477340E+000                  2.0468156219093969E+000                  4.7046767678673113E-001                  5.5260481924640764E+001                  0.0000000000000000E+000                  5.1157410521557891E-006                  1.8463783928583540E-012                  1.0155724506959124E-009                  1.4483161448621600E-004                  6.9783519723586756E-004                  3.2117537900915251E-033                  1.3313621930678055E+000                 -2.0250748384191562E-008                 -7.6935589224187453E+000                 -4.5121922531127812E+000                 -7.6935589224187453E+000                                        0                                       10                  3.8356016578270662E+001                  3.9651409236347860E+001                  1.3785937506920364E-016                  9.9988000000000000E+014                  2.8361227010104262E+001                  2.8346976342782337E+001                  2.9164607394266831E+001                  2.9165290466407349E+001                  2.8813000851691562E+001                  2.8804489607503019E+001                  2.8095911948764734E+001                  2.7948132655540768E+001                  2.9713940187560489E+001                  2.9684147326303851E+001                  2.9394051721736467E+001                  2.9410755116287312E+001 
