                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "d9e66b3b"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260108"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                num_zones                                 star_age                            time_step_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                                    log_L                                    log_R                                radius_cm                                 log_R_cm                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             max_tau_conv                              num_retries                                num_iters 
                                       1                                      531                  1.0000000000000001E-005                  3.1557600000000002E+002                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  4.8892929203525212E-005                  9.3339537390131566E-001                  1.5383624909314136E-001                  9.9999824307110829E-001                  9.4228438980015616E-001                  9.3339537390131566E-001                  1.5383624909314136E-001                  9.9999824307110829E-001                  9.4228438980015616E-001                 -2.1177360148468480E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1177360148468480E+001                 -2.1177360148468480E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0432697998906724E+002                  5.1103763354497150E+003                  3.7084528833814865E+000                  3.3085739124802309E+000                  1.7600343503416398E+000                  4.0036522987470483E+012                  1.2602456353699289E+001                  1.2190289222838349E+000                  0.0000000000000000E+000                  5.4770754507389405E+000                 -3.8837749284188163E+000                  9.7192707664797915E+000                  9.7192707664797915E+000                 -3.8837749284188163E+000                  5.4770754507389405E+000                  6.2240182842287117E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607861527E-003                  9.3805276451495393E-003                  3.4468833607861522E-003                  9.3805276451495410E-003                  1.4000000000000001E+000                  5.5994040472949813E-001                  2.9931664302068956E+007                                        0                                        5 
                                      10                                      521                  2.5958682111999997E-004                  1.6283028443627516E+003                 -4.2873687855713758E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.3339537390131500E-001                  1.5383624719604150E-001                  9.9999691236282418E-001                  9.4228438921542312E-001                  9.3339537390131500E-001                  1.5383624719604150E-001                  9.9999691236282418E-001                  9.4228438921542312E-001                 -2.1177388134974834E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1177388134974834E+001                 -2.1177388134974834E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0649663462000335E+003                  4.7761747950680547E+003                  3.6790802124145299E+000                  3.1881415197211900E+000                  1.7585634958960317E+000                  3.9901157946137197E+012                  1.2600985499253680E+001                  1.2219706311750511E+000                  0.0000000000000000E+000                  5.4770772493829236E+000                 -3.8837721725136252E+000                  9.7192753371248664E+000                  9.7192753371248664E+000                 -3.8837721725136252E+000                  5.4770772493829236E+000                  6.2240182646672615E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861509E-003                  9.3805276451495428E-003                  3.4468833607861514E-003                  9.3805276451495428E-003                  1.3999999999999997E+000                  5.5994040472949824E-001                  2.8727646788881890E+007                                        0                                        5 
                                      20                                      523                  1.8668799962237366E-003                  1.0082022028138364E+004                 -3.4955563250951283E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.3526699197603369E-001                  1.4738299014082384E-001                  9.9999444305846852E-001                  9.4059826843704919E-001                  9.3526699197603369E-001                  1.4738299014082384E-001                  9.9999444305846852E-001                  9.4059826843704919E-001                 -2.1177422078156649E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1177422078156649E+001                 -2.1177422078156649E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7259823197080245E+003                  4.2490684674051736E+003                  3.6282937291541617E+000                  2.9806259028911954E+000                  1.7563786540017707E+000                  3.9700927903529731E+012                  1.2598800657359419E+001                  1.2263403149635725E+000                  0.0000000000000000E+000                  5.4770790463511236E+000                 -3.8837694204657143E+000                  9.7192799022293013E+000                  9.7192799022293013E+000                 -3.8837694204657143E+000                  5.4770790463511236E+000                  6.2240182451218851E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861488E-003                  9.3805276451495428E-003                  3.4468833607861488E-003                  9.3805276451495428E-003                  1.4000000000000004E+000                  5.5994040472949824E-001                  3.0631772966843683E+007                                        0                                        4 
                                      30                                      523                  1.1818815689988481E-002                  6.2425223003063409E+004                 -2.7037438646188803E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999294567611818E-001                  1.4095905028784617E-001                  1.4305077103432151E-002                  2.4116960679135906E-004                  9.9999294567611818E-001                  1.4095905028784617E-001                  3.1288165804638945E-002                  2.4116960679135906E-004                 -2.1177406337821296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1177406337821296E+001                 -2.1177406337821296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4300081098733772E+003                  3.9203687134278143E+003                  3.5933269146420610E+000                  2.8349558966413020E+000                  1.7534772799010261E+000                  3.9436583453567686E+012                  1.2595899283258674E+001                  1.2321430631650623E+000                  0.0000000000000000E+000                  5.4770813200399093E+000                 -3.8837659458306653E+000                  9.7192856709525817E+000                  9.7192856709525817E+000                 -3.8837659458306653E+000                  5.4770813200399093E+000                  6.2240182203783789E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861470E-003                  9.3805276451495428E-003                  3.4468833607861466E-003                  9.3805276451495428E-003                  1.4000000000000004E+000                  5.5994040472949824E-001                  2.8724973123074401E+007                                        0                                        3 
                                      40                                      519                  7.3438578398454232E-002                  3.8652052694450982E+005                 -1.9119314041426323E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999324155769764E-001                  1.1563687090294959E-001                  1.4305077103431929E-002                  2.4501132003532848E-004                  9.9999324155769764E-001                  1.1563687090294959E-001                  3.1288165804638723E-002                  2.4501132003532848E-004                 -2.1177232013003991E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1177232013003991E+001                 -2.1177232013003991E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7471156447179924E+003                  3.8174862530021960E+003                  3.5817774818107013E+000                  2.7840438400694154E+000                  1.7511201172778021E+000                  3.9223118555796162E+012                  1.2593542120635451E+001                  1.2368573884115099E+000                  0.0000000000000000E+000                  5.4770908186386267E+000                 -3.8837514486417501E+000                  9.7193097520679004E+000                  9.7193097520679004E+000                 -3.8837514486417501E+000                  5.4770908186386267E+000                  6.2240181169788378E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861449E-003                  9.3805276451495428E-003                  3.4468833607861449E-003                  9.3805276451495428E-003                  1.4000000000000004E+000                  5.5994040472949824E-001                  2.8710759217254173E+007                                        0                                        4 
                                      50                                      518                  4.5497190750010669E-001                  2.3932332246875609E+006                 -1.1201189436663841E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999478017083165E-001                  5.1329368085084155E-002                  4.5844535692299293E-003                  8.5480387470862748E-004                  9.9999879557023863E-001                  5.1329368085084155E-002                  3.1288165804638723E-002                  8.5480387470862748E-004                 -2.1175568733779610E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1175568733779610E+001                 -2.1175568733779610E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8067835173859603E+003                  3.8042391783094035E+003                  3.5802678138790838E+000                  2.7758096326269719E+000                  1.7500223494198153E+000                  3.9124099324212993E+012                  1.2592444352777465E+001                  1.2390529241274835E+000                  0.0000000000000000E+000                  5.4771806944160701E+000                 -3.8836140694545920E+000                  9.7195378132803860E+000                  9.7195378132803860E+000                 -3.8836140694545920E+000                  5.4771806944160701E+000                  6.2240171390816512E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607861431E-003                  9.3805276451495428E-003                  1.4000000000000004E+000                  5.5994040472949824E-001                  4.2281154562188007E+007                                        0                                        5 
                                      60                                      518                  2.8173257176583335E+000                  1.4818269324595770E+007                 -3.2830648319013606E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999478017083165E-001                  2.4114618972214549E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999879557023863E-001                  2.4114618972214549E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1163340927110358E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1163340927110358E+001                 -2.1163340927110358E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8213725097693159E+003                  3.8045107006637454E+003                  3.5802988099460147E+000                  2.7743499520853461E+000                  1.7492305170151405E+000                  3.9052830850813657E+012                  1.2591652520372790E+001                  1.2406365889368332E+000                  0.0000000000000000E+000                  5.4780355468432465E+000                 -3.8823058632377752E+000                  9.7217085372393814E+000                  9.7217085372393814E+000                 -3.8823058632377752E+000                  5.4780355468432465E+000                  6.2240078503669372E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861405E-003                  9.3805276451495428E-003                  3.4468833607861401E-003                  9.3805276451495428E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                  2.8119445705451944E+005                                        0                                        3 
                                      70                                      518                  1.7444397846610435E+001                  9.1750817894032225E+007                  4.6350597728611193E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  1.9999889209128150E+000                  9.9999444305846841E-001                  7.8132200542757602E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999444305846841E-001                  7.8132200542757602E-008                  9.9999725174156173E-001                  9.9999539937649640E-001                 -2.1092665050670675E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1092665050670675E+001                 -2.1092665050670675E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8850895221465321E+003                  3.8086749004852063E+003                  3.5807739038893658E+000                  2.7685175019567181E+000                  1.7453641040641246E+000                  3.8706696522063047E+012                  1.2587786107421774E+001                  1.2483694148388651E+000                  0.0000000000000000E+000                  5.4829541869950589E+000                 -3.8728955552480659E+000                  9.7360709111214163E+000                  9.7360709111214163E+000                 -3.8728955552480659E+000                  5.4829541869950589E+000                  6.2239579223003139E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861397E-003                  9.3805276451495428E-003                  3.4468833607861384E-003                  9.3805276451495428E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                  2.9218153204093158E+005                                        0                                        3 
                                      80                                      517                  1.0801137310051504E+002                  5.6809688093946898E+008                  1.2553184377623601E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  1.9999888625568254E+000                  9.9999388883256946E-001                  7.8132200764802207E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999388883256946E-001                  7.8132200764802207E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0691403078960693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0691403078960693E+001                 -2.0691403078960693E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2778388561455990E+003                  3.8325565860537813E+003                  3.5834885757454575E+000                  2.7351848606911160E+000                  1.7232684397191402E+000                  3.6786667173987314E+012                  1.2565690443076790E+001                  1.2925607435288338E+000                  0.0000000000000000E+000                  5.5037191726400634E+000                 -3.8113769153329287E+000                  9.8183703114357588E+000                  9.8183703114357588E+000                 -3.8113769153329287E+000                  5.5037191726400634E+000                  6.2237854690433680E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607861371E-003                  9.3805276451495428E-003                  3.4468833607861362E-003                  9.3805276451495428E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                  9.6572401674137000E+004                                        0                                        3 
