phase,mag,mag_std,n
0.0025,0.1161645763618054,0.008196535648567234,328
0.0075,0.1213623911475799,0.003952149509233946,326
0.0125,0.12602633784252448,0.0039043557196077306,328
0.0175,0.1301915772873808,0.003998962879811672,329
0.0225,0.1341816057999393,0.00378211918090244,327
0.0275,0.1380442146231034,0.003913997352416561,321
0.0325,0.1414507693022948,0.0034819685545296533,314
0.037500000000000006,0.1447157147834468,0.004204673331057842,337
0.042499999999999996,0.1476938132822249,0.01636330547274717,328
0.0475,0.15034903918884873,0.0037879471170121325,322
0.052500000000000005,0.15273181141148157,0.0035296577903479627,336
0.057499999999999996,0.15452924884853395,0.0038574354839150267,332
0.0625,0.1562445820683025,0.003668712517291894,315
0.0675,0.15776867441097464,0.003640608187034816,326
0.07250000000000001,0.1585534659431017,0.003628289285962226,329
0.0775,0.15974491340601704,0.0035580408136533523,330
0.0825,0.16031447946255384,0.008276698552560415,334
0.0875,0.16038705598321376,0.0035693532646367205,322
0.0925,0.16053271098850597,0.0036586826954254858,334
0.0975,0.1601791287762921,0.004907979443130573,321
0.10250000000000001,0.1598156522256956,0.0036043991887726116,319
0.1075,0.159107421311018,0.004159241648349664,329
0.1125,0.15829875634325968,0.003804173771727365,328
0.1175,0.15752189236193054,0.0035286249930772335,310
0.1225,0.156269168928521,0.003728159188151221,339
0.1275,0.1552911311349044,0.007681070349012468,335
0.1325,0.1542124125072208,0.003769888934725142,322
0.1375,0.1526994459870337,0.003656754895525507,323
0.14250000000000002,0.1515137291035436,0.0037976032203060252,326
0.1475,0.1505384769264725,0.003541666898065242,321
0.1525,0.14968153182371002,0.0042226688486797954,330
0.1575,0.14840416949767926,0.003593345992756813,328
0.1625,0.14802659002491736,0.0037180965876238855,332
0.1675,0.14757333440132386,0.0038025910697928877,326
0.17250000000000001,0.14715532039056295,0.0037358892372541717,328
0.1775,0.1469522457266738,0.0035771391250460725,325
0.1825,0.14735113214851744,0.0038329603817287535,320
0.1875,0.1478981761712056,0.0036654326251721824,319
0.1925,0.14871838790691388,0.003825849007275273,338
0.1975,0.1500495444295387,0.0038924477849234477,330
0.2025,0.15170404021741063,0.0037632436418824876,322
0.20750000000000002,0.1531168804576863,0.0037762498834091702,333
0.2125,0.1543765635046407,0.004051639817277361,327
0.2175,0.15539335328114706,0.0037943283901447442,318
0.2225,0.155783513426185,0.003722626902678572,325
0.2275,0.1545434256943874,0.003774696117766026,326
0.2325,0.1527889093258818,0.0037877173258936093,327
0.2375,0.1493046959522431,0.003934594272618155,331
0.2425,0.14486212965489065,0.004056256468161563,330
0.2475,0.1399856905742863,0.004259452026413552,332
0.2525,0.1347371088995483,0.005152273917927597,315
0.2575,0.13034465710957444,0.003731529869420839,318
0.2625,0.12639023505759583,0.005200166417993395,328
0.2675,0.1241702605981906,0.00398393360105472,329
0.2725,0.12390956240068099,0.003699587761013573,324
0.2775,0.1248997646256559,0.0038184472143648817,339
0.28250000000000003,0.1279378684942568,0.004064333643179262,330
0.2875,0.13254465724076087,0.00423549971674244,322
0.2925,0.1385545317808097,0.004149779863100628,324
0.2975,0.1457080990006791,0.007656397407004827,325
0.3025,0.1535768178375832,0.004391794339873605,325
0.3075,0.16241526891925429,0.004519679854948865,334
0.3125,0.1716668531567523,0.004600462843563987,325
0.3175,0.1805864333471537,0.0046908845805042005,333
0.3225,0.1900260198943332,0.004703863944784187,323
0.3275,0.19874620170814705,0.004782488029172129,328
0.3325,0.2070115663465024,0.005207038823914455,327
0.3375,0.215067296890075,0.005051516000257993,325
0.3425,0.22155723428317856,0.005011935093563448,316
0.34750000000000003,0.2261310385137827,0.004113741983332756,336
0.35250000000000004,0.22979491300255994,0.004006636379399758,330
0.3575,0.2305600873281726,0.0057337553177976485,319
0.3625,0.22935653076875534,0.00380864558930043,334
0.3675,0.2245642368149737,0.0053975617922555055,330
0.3725,0.216831722729156,0.004879129912110132,313
0.3775,0.2050046520019309,0.005933380839179018,327
0.3825,0.1884189731619652,0.00815479723640265,325
0.3875,0.1672074804073592,0.008747289645120128,330
0.3925,0.1389478848241305,0.010615150526267944,334
0.3975,0.1005908083549622,0.01376061435550773,333
0.4025,0.051110820026215,0.017234053048030024,329
0.40750000000000003,-0.0092912461851702,0.0203799133833812,315
0.41250000000000003,-0.0809094803142233,0.02348560123030375,321
0.4175,-0.1575716021408505,0.024173883142383962,331
0.4225,-0.23838438980318533,0.02810506507290393,330
0.4275,-0.3137688292472574,0.024197131649020584,315
0.4325,-0.3921578015978159,0.024053036006768218,334
0.4375,-0.4698148893413357,0.02284067452223566,331
0.4425,-0.5403768173334982,0.020860208469014048,316
0.4475,-0.6021976683751116,0.01879034946605323,325
0.4525,-0.656188396043487,0.017414416199710535,326
0.4575,-0.7034765039512437,0.015506775918874652,324
0.4625,-0.7433813428965645,0.0215904358701593,329
0.4675,-0.7751829810059396,0.010914212715715523,325
0.47250000000000003,-0.7974009029312272,0.008613123089424173,334
0.47750000000000004,-0.8119836820229813,0.008051540747609739,326
0.4825,-0.8190304133881895,0.005876673304992459,320
0.4875,-0.8202348411927934,0.005964967724756591,327
0.4925,-0.8170471373811127,0.00624955129352341,325
0.4975,-0.8104809388638383,0.02234641864669044,319
0.5025,-0.8011308330166572,0.006779674270370791,336
0.5075000000000001,-0.7894016050072779,0.007310202066832124,331
0.5125,-0.7762244700986447,0.007203043415674017,319
0.5175000000000001,-0.7622086218390185,0.00709285197930854,332
0.5225,-0.7474398369254477,0.006999667081144545,322
0.5275000000000001,-0.7320288329002095,0.006834728621048032,319
0.5325,-0.7164420957255624,0.006835009952072727,327
0.5375000000000001,-0.7008325846555951,0.030988830242633877,328
0.5425,-0.6846545162551481,0.006947456576821902,328
0.5475000000000001,-0.6693821018318917,0.006925030239669252,328
0.5525,-0.6534184035271726,0.007023307813611733,330
0.5575000000000001,-0.6375826717169387,0.007725168345838121,329
0.5625,-0.6225579166530861,0.006748379905877424,315
0.5675000000000001,-0.6073249125454285,0.006086463458755107,323
0.5725,-0.5923597083125431,0.00668313939272221,328
0.5775,-0.5776286875729856,0.04080526683884601,334
0.5825,-0.5633698146804968,0.006545967855411296,316
0.5874999999999999,-0.548924776049029,0.006427812806214812,337
0.5925,-0.5350577094401664,0.006456242425521923,323
0.5974999999999999,-0.521696392773734,0.005961088198382477,320
0.6025,-0.5082296304133052,0.005772157418325137,322
0.6074999999999999,-0.4948476775128107,0.005910742044564459,327
0.6125,-0.482011766394653,0.005703292522909824,329
0.6174999999999999,-0.4692810640900378,0.0058205609397266,333
0.6225,-0.457178883929928,0.0057580109495208665,326
0.6275,-0.44552197351708933,0.0057811897722700005,332
0.6325000000000001,-0.4332971067667417,0.006415184661134656,325
0.6375,-0.4218829257982244,0.005160666434647161,319
0.6425000000000001,-0.41031022070212075,0.005580322076876564,328
0.6475,-0.399667328298725,0.005461081783790375,323
0.6525000000000001,-0.3885300623198489,0.0046149858873698645,322
0.6575,-0.3782268969929681,0.005359681122152795,336
0.6625000000000001,-0.3675959263822304,0.005353676230259956,333
0.6675,-0.3575207873247205,0.005162521316459071,324
0.6725000000000001,-0.34804970169469424,0.005094552317211175,326
0.6775,-0.33809032247706255,0.005849062443890492,324
0.6825000000000001,-0.3286442704534054,0.004659754404569609,318
0.6875,-0.31886306692875444,0.03863834019434781,324
0.6925000000000001,-0.3098755127649493,0.004814611217218604,329
0.6975,-0.30093174319154903,0.0047731637845460865,332
0.7025,-0.2919814425296,0.004756736159379125,331
0.7075,-0.28337391125104816,0.005342694494264217,332
0.7124999999999999,-0.27464473228752945,0.004715616240999995,324
0.7175,-0.26632024418282374,0.004603260767126301,314
0.7224999999999999,-0.2582468662489191,0.004175429005714792,313
0.7275,-0.24979582310853016,0.03602364562473208,332
0.7324999999999999,-0.24189382045036323,0.0045931026419427905,334
0.7375,-0.23400389680024344,0.004559272761291188,318
0.7424999999999999,-0.2262060833163717,0.004381362738568865,335
0.7475,-0.21849289695136426,0.00448044342723955,328
0.7525,-0.2109339125460955,0.00731492889803271,314
0.7575000000000001,-0.2033827312133682,0.004248346083575526,325
0.7625,-0.19608576821569013,0.028246665897601077,320
